"filename", "language", "Markdown", "XML", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "JavaScript JSX", "PostCSS", "TypeScript JSX", "Dotenv", "HTML", "comment", "blank", "total"
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\constants\data.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 5, 61
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\constants\icons.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\constants\images.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\constants\theme.ts", "TypeScript", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 3, 51
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 670, 0, 0, 7, 145, 822
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\eslint.config.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\global.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 3, 39, 190
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\image.d.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\metro.config.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\nativewind-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\package-lock.json", "JSON", 0, 0, 0, 14966, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14967
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\package.json", "JSON", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 1, 62
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\postcss.config.mjs", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\type.d.ts", "TypeScript", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 3, 75
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\utils\formatter.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\dierk\OneDrive\Desktop\Evolvo\Evolvo\utils\getAge.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 9
